"rowname","B1","B2","S9","H4","sex","species","body_region","L","a","b","C","h","carotenoid","indiv_rep"
"Acrocephalus_palustris_e.Female.tail",18.46254,0.046041246882793,0.463449869979775,0.639078628234652,"female","Acrocephalus_palustris","tail",4.13034987648387,1.38106525061646,1.13151209618878,1.78540215365666,39.327895131476,0,"e"
"Acrocephalus_palustris_e.Female.throat",83.73903,0.208825511221945,0.278109640831758,1.0415768171592,"female","Acrocephalus_palustris","throat",20.1870651582121,3.49972732907433,4.00069333552927,5.31541518066257,48.8212081721684,0,"e"
"Acrocephalus_palustris_e.Female.wing_cov",29.82673,0.0743808728179551,0.535033957263541,0.647685559905994,"female","Acrocephalus_palustris","cov",6.8919238547995,2.6369282426883,2.7214401514809,3.7894098557928,45.9035911479145,0,"e"
"Acrocephalus_palustris_f.Female.back",14.07644,0.0351033416458853,0.636812847436689,0.737198272622736,"female","Acrocephalus_palustris","back",3.52760578787915,1.39916668328743,2.09370805351172,2.51818998905194,56.246297931292,0,"f"
"Acrocephalus_palustris_f.Female.belly",56.5424,0.14100349127182,0.457288327361871,0.937820998706806,"female","Acrocephalus_palustris","belly",14.5170639176835,3.39531781961208,6.12104523000839,6.99966983535537,60.9830538626572,0,"f"
"Acrocephalus_palustris_f.Female.crown",20.45723,0.051015536159601,0.481356809943035,0.694370688513196,"female","Acrocephalus_palustris","crown",4.72541674283358,1.6466685904952,1.62709404450667,2.31494113890451,44.6574200298095,0,"f"
"Acrocephalus_palustris_f.Female.tail",38.12216,0.0950677306733167,0.542871574693774,0.563756320706923,"female","Acrocephalus_palustris","tail",8.53622924403794,3.48925417076332,3.04747165608321,4.63270743332878,41.1335628918089,0,"f"
"Acrocephalus_palustris_f.Female.throat",51.1307,0.127507980049875,0.111005563848555,1.27334519023634,"female","Acrocephalus_palustris","throat",11.8721688244238,1.54797751494989,-0.269283530381692,1.5712250018776,350.131676429026,0,"f"
"Acrocephalus_palustris_f.Female.wing_cov",29.82673,0.0743808728179551,0.535033957263541,0.647685559905994,"female","Acrocephalus_palustris","cov",6.8919238547995,2.6369282426883,2.7214401514809,3.7894098557928,45.9035911479145,0,"f"
"Acrocephalus_schoenobaenus_a.Male.back",23.40341,0.0583626184538653,0.671812080536913,0.735130923111762,"male","Acrocephalus_schoenobaenus","back",6.08715118502339,2.81352387073913,4.14594910780419,5.01047009528261,55.838401042135,0,"a"
"Acrocephalus_schoenobaenus_a.Male.belly",95.32751,0.237724463840399,0.461030235162374,0.958070434231357,"male","Acrocephalus_schoenobaenus","belly",24.9576161479131,5.38123112397995,11.4662743058904,12.6662186491318,64.8588900364453,0,"a"
"Acrocephalus_schoenobaenus_a.Male.crown",12.90595,0.0321844139650873,0.613479623824451,0.800286814009647,"male","Acrocephalus_schoenobaenus","crown",3.32023982045212,1.3303228235291,1.83266191684367,2.26459897470867,54.0242348391046,0,"a"
"Acrocephalus_schoenobaenus_a.Male.tail",27.30302,0.0680873316708229,0.520880263385895,0.678609139670545,"male","Acrocephalus_schoenobaenus","tail",6.31881416940104,2.41882272291147,2.16004506151851,3.24291505171865,41.7653330583957,0,"a"
"Acrocephalus_schoenobaenus_a.Male.throat",44.21951,0.110273092269327,0.402363259836765,1.05638416984179,"male","Acrocephalus_schoenobaenus","throat",11.7107850387841,2.2599893048128,4.35242867422914,4.90420095653923,62.5595004580191,0,"a"
"Acrocephalus_schoenobaenus_a.Male.wing_cov",22.77304,0.0567906234413965,0.551053484602917,0.753227234598381,"male","Acrocephalus_schoenobaenus","cov",5.54766853455304,2.01241451816409,2.49297235347351,3.20386069424075,51.0883173576166,0,"a"
"Acrocephalus_schoenobaenus_b.Male.back",19.3557,0.048268578553616,0.627706537733866,0.794364500477703,"male","Acrocephalus_schoenobaenus","back",5.00152825686219,1.94729976112917,2.89053014376456,3.48527486315001,56.0325380951384,0,"b"
"Acrocephalus_schoenobaenus_b.Male.belly",80.9692,0.201918204488778,0.371314796702529,1.04432288236013,"male","Acrocephalus_schoenobaenus","belly",20.8278332071912,3.66931006353988,6.86578078976763,7.78477887903935,61.878415687478,0,"b"
"Acrocephalus_schoenobaenus_b.Male.crown",15.61178,0.0389321197007481,0.563323782234957,0.873703186464882,"male","Acrocephalus_schoenobaenus","crown",4.08636292984423,1.2885674609997,2.14735399500005,2.50430335250941,59.0332013417339,0,"b"
"Acrocephalus_schoenobaenus_b.Male.tail",23.86704,0.0595188029925187,0.539171374764595,0.750223900418241,"male","Acrocephalus_schoenobaenus","tail",5.69166233204197,2.16178975918427,2.06488868485721,2.98949832643628,43.6866637130393,0,"b"
"Acrocephalus_schoenobaenus_b.Male.throat",93.34368,0.232777256857855,0.122952063106796,1.21626934506697,"male","Acrocephalus_schoenobaenus","throat",21.2788343751808,3.15461607765591,-0.160928484631173,3.15871818536742,357.079664612649,0,"b"
"Acrocephalus_schoenobaenus_b.Male.wing_cov",32.31895,0.080595885286783,0.592206366630077,0.788117085917379,"male","Acrocephalus_schoenobaenus","cov",8.23207761030996,3.00234859645782,4.53440439558428,5.4382828463906,56.4904079841968,0,"b"
"Acrocephalus_schoenobaenus_c.Male.back",23.68101,0.0590548877805486,0.638830532212885,0.736779455960209,"male","Acrocephalus_schoenobaenus","back",6.07578510038156,2.66831261174716,3.86510331302475,4.69669200761173,55.3803542847932,0,"c"
"Acrocephalus_schoenobaenus_c.Male.belly",104.56337,0.260756533665835,0.221353530417786,1.15850749163642,"male","Acrocephalus_schoenobaenus","belly",25.0100600291318,4.05407937131785,2.36451180855407,4.69323722410626,30.2525583971329,0,"c"
"Acrocephalus_schoenobaenus_c.Male.crown",15.48958,0.0386273815461347,0.605451177560201,0.778155620593559,"male","Acrocephalus_schoenobaenus","crown",3.91524762245557,1.60046552788617,2.04999470818545,2.60076300526217,52.0202397382455,0,"c"
"Acrocephalus_schoenobaenus_c.Male.tail",31.11335,0.0775894014962594,0.457632653061224,0.705825851239011,"male","Acrocephalus_schoenobaenus","tail",7.09227807619698,2.41362415073249,1.79599127460761,3.0085156139641,36.653142315981,0,"c"
"Acrocephalus_schoenobaenus_c.Male.throat",82.74158,0.206338104738155,0.157838809874121,1.21349925581171,"male","Acrocephalus_schoenobaenus","throat",19.2213663656305,2.83062377930438,0.355122233946514,2.85281313461056,7.15080951614699,0,"c"
"Acrocephalus_schoenobaenus_c.Male.wing_cov",27.89538,0.0695645386533666,0.618240146654445,0.760756430348019,"male","Acrocephalus_schoenobaenus","cov",7.15884825077967,2.94592281335063,4.30609798848386,5.21736917503874,55.6228705545519,0,"c"
"Acrocephalus_schoenobaenus_d.Female.back",18.32914,0.045708578553616,0.585313688212928,0.789850747548353,"female","Acrocephalus_schoenobaenus","back",4.64740769218066,1.76825394875874,2.44075779857866,3.01397091204003,54.0778261514236,0,"d"
"Acrocephalus_schoenobaenus_d.Female.belly",89.86987,0.224114389027431,0.355005565376809,1.00969321215439,"female","Acrocephalus_schoenobaenus","belly",22.3720861442439,4.18954562198565,6.68047539824745,7.88549580339046,57.9068242003344,0,"d"
"Acrocephalus_schoenobaenus_d.Female.crown",15.39049,0.0383802743142145,0.593648208469055,0.756487419638045,"female","Acrocephalus_schoenobaenus","crown",3.78685426360443,1.55406331459357,1.77913903079985,2.3622972879553,48.8630543149569,0,"d"
"Acrocephalus_schoenobaenus_d.Female.tail",20.0163,0.0499159600997506,0.516400911161731,0.664880834053287,"female","Acrocephalus_schoenobaenus","tail",4.53043068864108,1.63389314265738,1.2060121841056,2.03078117724042,36.431844115592,0,"d"
"Acrocephalus_schoenobaenus_d.Female.throat",101.58532,0.253329975062344,0.138354592697577,1.21319498921676,"female","Acrocephalus_schoenobaenus","throat",23.2821090176139,3.63150213119584,-0.388765177074479,3.65225219443916,353.889555609662,0,"d"
